Current Loan Amount,Term,Credit Scores,Years in current job,Home Ownership,Annual Income,Purpose,Monthly Debt,Annual Debt,Debt to Income Ratio,Debt to Income Ratio G/B,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Utilization Rate Good/Bad,Utilization Rate,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Loan Status
1018,Short Term,,10,Home Mortgage,,Debt Consolidation,1722.33,20667.96,,Very Bad DTI,27.3,17,0,Very Bad UR,0.88,33863,38393,0,0,
1020,Short Term,,1,Rent,,other,924.36,11092.32,,Very Bad DTI,18.3,10,0,Very Bad UR,0.86,19827,22948,0,0,
1021,Short Term,,2,Home Mortgage,,wedding,419.5,5034,,Very Bad DTI,12,9,0,Good UR,0.37,4581,12414,,0,
1022,Short Term,743,1,Home Mortgage,36774,other,31.56,378.72,0.01,Excellent DTI,12.9,3,0,Excellent UR,0.16,2336,14786,0,0,
1022,Short Term,,3,Home Mortgage,,other,686.17,8234.04,,Very Bad DTI,13,10,0,Very Bad UR,0.7,16892,24029,0,0,
1022,Short Term,641,1,Rent,10218,other,30.65,367.8,0.04,Excellent DTI,8.1,2,0,Bad UR,0.6,1041,1738,0,0,
1022,Short Term,705,3,Home Mortgage,38840,other,686.17,8234.04,0.21,Bad DTI,13,10,0,Very Bad UR,0.7,16892,24029,0,0,
1022,Short Term,731,3,Rent,32710,Debt Consolidation,934.98,11219.76,0.34,Very Bad DTI,29.1,17,1,Good UR,0.32,8490,26532,1,0,
1023,Short Term,686,4,Rent,41419,Other,171.9,2062.8,0.05,Excellent DTI,11.4,4,0,Very Bad UR,0.99,9122,9205,0,0,
1023,Short Term,714,4,Rent,36327,vacation,799.2,9590.4,0.26,Bad DTI,15.4,17,0,Very Bad UR,0.81,24468,30395,0,0,
1024,Short Term,718,4,Own Home,35111,Debt Consolidation,432.16,5185.92,0.15,Good DTI,10.9,4,0,Very Bad UR,0.95,2313,2437,0,0,
1097,Short Term,749,10,Home Mortgage,89775,Other,965.08,11580.96,0.13,Good DTI,39.3,6,0,Excellent UR,0.05,2251,41692,0,0,
1109,Short Term,727,5,Home Mortgage,36302,Take a Trip,369.07,4428.84,0.12,Good DTI,18,9,0,Very Bad UR,0.87,16009,18359,0,0,
1122,Short Term,724,10,Home Mortgage,36713,Debt Consolidation,963.71,11564.52,0.31,Very Bad DTI,13.3,6,0,Excellent UR,0.15,1655,11183,0,0,
1170,Short Term,,,Rent,,Home Improvements,431.61,5179.32,,Very Bad DTI,13.8,4,0,Excellent UR,0.1,1780,18542,0,0,
1172,Short Term,,7,Home Mortgage,,Debt Consolidation,417.5,5010,,Very Bad DTI,16.5,4,0,Very Bad UR,0.77,15296,19839,0,0,
1173,Short Term,672,,Rent,14000,other,192.5,2310,0.17,Good DTI,21.4,10,3,Excellent UR,0.3,2425,8031,1,0,
1173,Short Term,735,4,Own Home,29316,Debt Consolidation,97.72,1172.64,0.04,Excellent DTI,13.7,5,1,Good UR,0.38,1298,3424,1,0,
1174,Short Term,697,2,Rent,18593,Debt Consolidation,316.09,3793.08,0.2,Good DTI,8.5,12,0,Bad UR,0.57,3819,6748,0,0,
1174,Short Term,730,1,Rent,33589,Buy House,403.07,4836.84,0.14,Good DTI,16.9,20,0,Good UR,0.43,2631,6062,0,0,
1174,Short Term,703,10,Home Mortgage,27392,Take a Trip,748.72,8984.64,0.33,Very Bad DTI,20.2,13,1,Very Bad UR,0.72,9511,13210,1,0,
1174,Short Term,697,2,Rent,18593,Debt Consolidation,316.09,3793.08,0.2,Good DTI,8.5,12,0,Bad UR,0.57,3819,6748,0,0,
1174,Short Term,686,8,Rent,25461,other,314.01,3768.12,0.15,Good DTI,13.5,7,0,Bad UR,0.61,6703,10952,0,0,
1177,Short Term,747,,Home Mortgage,24716,Buy a Car,1.03,12.36,0,Excellent DTI,18.5,9,0,,,1,0,0,0,
1181,Short Term,733,2,Rent,49205,Medical Bills,164.42,1973.04,0.04,Excellent DTI,21.4,7,3,Excellent UR,0.16,1392,8485,1,2,
1184,Short Term,,10,Own Home,,Debt Consolidation,242.85,2914.2,,Very Bad DTI,31.5,5,0,Good UR,0.4,2549,6310,0,0,
1186,Short Term,677,1,Rent,18780,Debt Consolidation,513.31,6159.72,0.33,Very Bad DTI,9.8,5,0,Bad UR,0.63,8458,13532,0,0,
1187,Short Term,694,10,Rent,74213,other,1224.51,14694.12,0.2,Good DTI,15.3,4,1,Good UR,0.47,507,1089,1,0,
1188,Short Term,730,10,Home Mortgage,79192,Debt Consolidation,1049.29,12591.48,0.16,Good DTI,20,10,0,Very Bad UR,0.82,28642,34844,0,0,
1192,Short Term,709,5,Rent,55647,Debt Consolidation,946,11352,0.2,Good DTI,19.6,14,0,Very Bad UR,0.9,50523,55950,0,0,
1197,Short Term,745,1,Home Mortgage,73002,Home Improvements,400.9,4810.8,0.07,Excellent DTI,23.9,10,0,Excellent UR,0,125,41554,0,0,
1198,Short Term,664,1,Rent,28748,Other,522.26,6267.12,0.22,Bad DTI,10.1,10,0,Bad UR,0.68,7706,11283,0,0,
1199,Short Term,,4,Rent,,other,49.99,599.88,,Very Bad DTI,8.8,2,0,Very Bad UR,0.92,915,999,0,0,
1200,Short Term,659,4,Home Mortgage,70028,Home Improvements,1283.84,15406.08,0.22,Bad DTI,15.7,16,0,Bad UR,0.6,31721,53044,0,0,
1201,Short Term,697,1,Rent,63596,Other,1393.82,16725.84,0.26,Bad DTI,17.7,21,0,Very Bad UR,0.8,13093,16428,0,0,
1202,Short Term,642,1,Rent,10017,other,48.08,576.96,0.06,Excellent DTI,6.7,9,0,Bad UR,0.68,1089,1604,0,0,
1205,Short Term,729,9,Rent,79348,Debt Consolidation,1593.56,19122.72,0.24,Bad DTI,18.3,8,0,Very Bad UR,0.95,33747,35448,0,0,
1206,Short Term,708,8,Home Mortgage,40196,other,81.39,976.68,0.02,Excellent DTI,11.7,3,0,Very Bad UR,1,12523,12560,0,0,
1206,Short Term,659,6,Rent,15075,Other,15.08,180.96,0.01,Excellent DTI,8.8,1,0,Very Bad UR,0.93,654,704,0,0,
1210,Short Term,713,9,Rent,39440,Other,423.99,5087.88,0.13,Good DTI,19.5,6,0,Excellent UR,0.3,4986,16565,0,0,
1210,Short Term,,10,Home Mortgage,,Home Improvements,605.54,7266.48,,Very Bad DTI,26.7,8,0,Bad UR,0.66,20743,31239,0,0,
1210,Short Term,736,8,Home Mortgage,55457,Debt Consolidation,808.74,9704.88,0.17,Good DTI,17.1,24,0,Bad UR,0.56,23431,41840,0,0,
1213,Short Term,,10,Own Home,,Debt Consolidation,1113.57,13362.84,,Very Bad DTI,12,16,0,Very Bad UR,0.75,12648,16864,0,0,
1213,Short Term,725,10,Own Home,58609,Debt Consolidation,1113.57,13362.84,0.23,Bad DTI,12,16,0,Very Bad UR,0.75,12648,16864,0,0,
1220,Short Term,,5,Own Home,,Take a Trip,1315.94,15791.28,,Very Bad DTI,14.1,12,0,Bad UR,0.65,9549,14646,0,0,
1223,Short Term,709,6,Home Mortgage,59096,Debt Consolidation,1620.22,19442.64,0.33,Very Bad DTI,30.6,23,0,Bad UR,0.54,53333,98040,0,0,
1223,Short Term,725,10,Rent,48922,Debt Consolidation,913.2,10958.4,0.22,Bad DTI,12.9,8,0,Bad UR,0.6,4373,7338,0,0,
1227,Short Term,,10,Home Mortgage,,vacation,902.11,10825.32,,Very Bad DTI,13.7,9,0,Very Bad UR,0.87,13273,15344,0,0,
1228,Short Term,732,1,Rent,25578,Take a Trip,368.75,4425,0.17,Good DTI,9,9,0,Excellent UR,0.14,360,2554,0,0,
1241,Short Term,724,9,Rent,24810,Debt Consolidation,279.11,3349.32,0.13,Good DTI,28,3,1,Excellent UR,0.16,241,1507,1,0,
1260,Short Term,723,4,Rent,34594,Debt Consolidation,530.44,6365.28,0.18,Good DTI,12.7,7,1,Excellent UR,0.16,1209,7508,1,0,
1263,Short Term,733,2,Rent,37631,Debt Consolidation,417.08,5004.96,0.13,Good DTI,8,4,0,Very Bad UR,0.73,2912,3962,0,0,
1267,Short Term,,1,Rent,,other,258.97,3107.64,,Very Bad DTI,12.6,9,0,Very Bad UR,0.71,1660,2331,0,0,
1289,Short Term,681,5,Home Mortgage,161631,other,4215.87,50590.44,0.31,Very Bad DTI,22.1,20,0,Very Bad UR,0.88,102489,116863,0,0,
1291,Short Term,742,,Own Home,11238,Debt Consolidation,164.82,1977.84,0.18,Good DTI,15.8,9,1,Good UR,0.44,4772,10919,1,0,
1320,Short Term,693,,Rent,26408,Debt Consolidation,212.36,2548.32,0.1,Excellent DTI,30.3,8,2,Excellent UR,0.12,950,7848,0,0,
1348,Short Term,706,,Home Mortgage,21569,Debt Consolidation,253.43,3041.16,0.14,Good DTI,16.2,12,0,Good UR,0.35,9144,26277,0,0,
1361,Short Term,734,6,Rent,65533,major_purchase,660.79,7929.48,0.12,Good DTI,12.5,9,0,Bad UR,0.67,18677,27710,0,0,
1373,Short Term,,10,Own Home,,other,347.99,4175.88,,Very Bad DTI,14,3,0,Bad UR,0.64,1186,1864,0,0,
1384,Short Term,736,1,Rent,4033,Debt Consolidation,44.5,534,0.13,Good DTI,9.5,8,0,Excellent UR,0.22,1483,6709,0,0,
1392,Short Term,650,5,Rent,24865,Other,596.76,7161.12,0.29,Bad DTI,9.5,7,0,Good UR,0.41,1333,3282,0,0,
1404,Short Term,,2,Rent,,Home Improvements,1160.22,13922.64,,Very Bad DTI,11.4,27,0,Very Bad UR,0.9,2627,2909,0,0,
1407,Short Term,,10,Rent,,other,967.41,11608.92,,Very Bad DTI,29.5,7,1,Excellent UR,0.21,1155,5634,1,0,
1407,Short Term,719,10,Rent,50255,other,967.41,11608.92,0.23,Bad DTI,29.5,7,1,Excellent UR,0.21,1155,5634,1,0,
1410,Short Term,715,1,Rent,26185,Debt Consolidation,560.78,6729.36,0.26,Bad DTI,9.5,10,0,Excellent UR,0.24,287,1212,0,0,
1410,Short Term,715,1,Rent,26185,Debt Consolidation,560.78,6729.36,0.26,Bad DTI,9.5,10,0,Excellent UR,0.24,287,1212,0,0,
1414,Short Term,723,5,Rent,49495,Medical Bills,1035.27,12423.24,0.25,Bad DTI,12,12,0,Very Bad UR,0.8,20181,25352,0,0,
1417,Short Term,715,2,Rent,24295,Debt Consolidation,457.56,5490.72,0.23,Bad DTI,25.1,10,0,Bad UR,0.52,4560,8804,0,0,
1417,Short Term,655,,Rent,13081,other,381.52,4578.24,0.35,Very Bad DTI,38,7,0,Good UR,0.32,3983,12408,0,0,
1419,Short Term,732,7,Rent,37179,other,886.11,10633.32,0.29,Bad DTI,16.9,7,0,Very Bad UR,0.89,6869,7727,0,0,
1422,Short Term,737,5,Rent,42318,Debt Consolidation,568.83,6825.96,0.16,Good DTI,21.8,13,0,Very Bad UR,0.78,13707,17573,0,0,
1425,Short Term,751,2,Home Mortgage,30543,Other,48.87,586.44,0.02,Excellent DTI,21.9,5,0,Excellent UR,0.2,3235,16013,0,0,
1428,Short Term,731,4,Rent,15303,other,238.47,2861.64,0.19,Good DTI,7.9,4,0,Bad UR,0.5,5396,10706,0,0,
1428,Long Term,643,10,Own Home,52005,Debt Consolidation,1010.62,12127.44,0.23,Bad DTI,18.3,11,0,Very Bad UR,1,3145,3160,0,0,
1431,Short Term,743,8,Home Mortgage,54280,other,588.02,7056.24,0.13,Good DTI,16.1,6,0,Very Bad UR,0.9,29501,32779,0,0,
1441,Short Term,,3,Home Mortgage,,Home Improvements,944.02,11328.24,,Very Bad DTI,10.8,12,0,Bad UR,0.58,11117,19266,0,0,
1441,Short Term,692,,Home Mortgage,30767,other,241.78,2901.36,0.09,Excellent DTI,14,4,0,Bad UR,0.58,698,1204,0,0,
1447,Short Term,716,1,Rent,58854,Debt Consolidation,559.11,6709.32,0.11,Good DTI,21.2,8,1,Excellent UR,0.18,1915,10879,1,0,
1463,Short Term,648,4,Rent,39004,other,640.32,7683.84,0.2,Good DTI,6.8,7,0,Excellent UR,0.27,1328,4882,0,0,
1463,Short Term,,1,Rent,,other,810.97,9731.64,,Very Bad DTI,17,8,0,Very Bad UR,0.83,9381,11317,0,0,
1464,Short Term,,2,Rent,,Debt Consolidation,789.14,9469.68,,Very Bad DTI,14.1,10,0,Very Bad UR,0.82,16893,20702,0,0,
1465,Short Term,,2,Rent,,other,298.9,3586.8,,Very Bad DTI,11.3,6,1,Very Bad UR,0.76,2756,3612,0,0,
1467,Short Term,,10,Home Mortgage,,Debt Consolidation,1730.87,20770.44,,Very Bad DTI,14,8,0,Very Bad UR,0.98,23414,23771,0,0,
1467,Short Term,733,7,Rent,26736,Debt Consolidation,541.84,6502.08,0.24,Bad DTI,16,18,0,Good UR,0.49,3744,7673,0,0,
1469,Short Term,736,2,Home Mortgage,21364,Home Improvements,172.34,2068.08,0.1,Excellent DTI,16.4,3,0,Excellent UR,0.03,449,16054,0,0,
1470,Short Term,,9,Rent,,Other,146.01,1752.12,,Very Bad DTI,15.6,18,0,Very Bad UR,0.94,1012,1078,0,0,
1475,Short Term,,2,Rent,,Other,711.76,8541.12,,Very Bad DTI,28.2,9,1,Bad UR,0.68,2530,3737,1,0,
1475,Short Term,711,3,Rent,34416,Home Improvements,619.48,7433.76,0.22,Bad DTI,8.2,11,0,Bad UR,0.65,6824,10514,0,0,
1477,Short Term,738,10,Rent,36659,Debt Consolidation,657.72,7892.64,0.22,Bad DTI,13,7,1,Good UR,0.37,4648,12426,1,0,
1478,Short Term,,5,Home Mortgage,,Other,289.49,3473.88,,Very Bad DTI,13.2,8,0,Good UR,0.31,6761,21599,0,0,
1478,Short Term,750,10,Rent,57445,Debt Consolidation,507.43,6089.16,0.11,Excellent DTI,15.1,9,0,Bad UR,0.59,19551,33364,0,0,
1483,Short Term,656,10,Rent,32634,Other,456.87,5482.44,0.17,Good DTI,17.4,10,0,Excellent UR,0.16,1566,9790,0,0,
1484,Short Term,734,10,Home Mortgage,158304,Debt Consolidation,1013.15,12157.8,0.08,Excellent DTI,17.7,8,0,Very Bad UR,0.88,5293,6035,0,0,
1487,Short Term,734,1,Rent,37666,Take a Trip,146.58,1758.96,0.05,Excellent DTI,14.9,16,0,Excellent UR,0.17,807,4746,0,0,
1488,Short Term,709,10,Home Mortgage,59514,other,555.46,6665.52,0.11,Good DTI,34.9,10,0,Bad UR,0.66,26427,40285,0,0,
1489,Short Term,731,10,Own Home,59568,Home Improvements,175.73,2108.76,0.04,Excellent DTI,23.4,2,0,Very Bad UR,0.7,6480,9231,0,0,
1492,Short Term,743,1,Rent,31824,Other,315.58,3786.96,0.12,Good DTI,15.3,5,0,Good UR,0.46,1723,3779,0,0,
1492,Long Term,,3,Rent,,other,547.59,6571.08,,Very Bad DTI,21.3,8,0,Good UR,0.32,5325,16385,0,0,
1494,Short Term,676,1,Rent,42824,other,485.33,5823.96,0.14,Good DTI,9.9,7,0,Good UR,0.48,4728,9869,0,0,
1494,Short Term,744,10,Rent,32184,other,220.19,2642.28,0.08,Excellent DTI,11.3,6,0,Bad UR,0.61,1577,2589,0,0,
1502,Short Term,719,1,Rent,100160,Medical Bills,370.59,4447.08,0.04,Excellent DTI,21,3,0,Good UR,0.35,2652,7513,0,0,
1504,Short Term,703,3,Rent,24058,other,513.23,6158.76,0.26,Bad DTI,13.6,15,0,Excellent UR,0.08,923,11397,0,0,
1504,Short Term,720,3,Rent,38095,other,486.03,5832.36,0.15,Good DTI,11.2,4,0,Excellent UR,0.01,56,6237,0,0,
1504,Short Term,722,10,Home Mortgage,60168,Debt Consolidation,1022.86,12274.32,0.2,Good DTI,28.4,15,0,Very Bad UR,0.82,22329,27364,0,0,
1507,Short Term,713,10,Rent,30147,vacation,705.94,8471.28,0.28,Bad DTI,11.8,10,2,Good UR,0.32,2587,8134,2,0,
1509,Short Term,702,9,Home Mortgage,40232,Debt Consolidation,429.14,5149.68,0.13,Good DTI,13.7,15,0,Bad UR,0.63,19159,30461,0,0,
1509,Short Term,675,,Rent,17566,Take a Trip,291.3,3495.6,0.2,Good DTI,17.3,9,0,Bad UR,0.62,5623,9055,0,0,
1509,Short Term,740,9,Home Mortgage,77454,Debt Consolidation,1400.64,16807.68,0.22,Bad DTI,14.5,12,0,Very Bad UR,0.78,35158,45017,0,0,
1510,Short Term,740,1,Rent,29197,Debt Consolidation,457.42,5489.04,0.19,Good DTI,18.9,15,0,Good UR,0.42,1712,4124,0,0,
1510,Long Term,673,1,Rent,42281,Educatiol Expenses,111.69,1340.28,0.03,Excellent DTI,32,3,0,Bad UR,0.57,4982,8803,0,0,
1512,Short Term,730,2,Rent,40332,Debt Consolidation,490.71,5888.52,0.15,Good DTI,8.3,11,0,Excellent UR,0.23,3048,13026,0,0,
1515,Short Term,,3,Rent,,Medical Bills,397.61,4771.32,,Very Bad DTI,13.5,9,0,Bad UR,0.57,6347,11115,0,0,
1517,Short Term,698,5,Home Mortgage,65210,other,1516.13,18193.56,0.28,Bad DTI,25.6,20,0,Very Bad UR,0.77,19111,24755,0,0,
1518,Short Term,748,5,Home Mortgage,21547,Home Improvements,446.56,5358.72,0.25,Bad DTI,9.3,7,0,Excellent UR,0.01,65,12928,0,0,
1518,Short Term,705,2,Rent,65787,Debt Consolidation,1502.13,18025.56,0.27,Bad DTI,15.9,14,0,Very Bad UR,0.98,14123,14367,0,0,
1519,Short Term,751,3,Home Mortgage,47588,Home Improvements,511.57,6138.84,0.13,Good DTI,8.6,4,0,Excellent UR,0.14,2823,20756,0,0,
1520,Short Term,686,,Rent,24226,Medical Bills,199.26,2391.12,0.1,Excellent DTI,22.5,5,0,Good UR,0.36,1094,3039,0,0,
1523,Short Term,705,1,Rent,35546,Debt Consolidation,207.06,2484.72,0.07,Excellent DTI,4.1,12,0,Excellent UR,0.06,2297,39608,0,0,
1523,Short Term,,9,Home Mortgage,,Take a Trip,2006.74,24080.88,,Very Bad DTI,19.3,15,0,Very Bad UR,0.88,55547,62836,0,0,
1524,Short Term,,10,Home Mortgage,,other,407.26,4887.12,,Very Bad DTI,36,4,0,Excellent UR,0.14,558,4070,0,0,
1525,Short Term,721,10,Own Home,68099,Home Improvements,1021.48,12257.76,0.18,Good DTI,25.1,8,0,Excellent UR,0.22,1830,8241,0,0,
1526,Short Term,,1,Rent,,Debt Consolidation,106.75,1281,,Very Bad DTI,9.1,10,0,Excellent UR,0.13,3165,25120,0,0,
1527,Short Term,,2,Home Mortgage,,Buy a Car,765.54,9186.48,,Very Bad DTI,13.5,7,0,Bad UR,0.59,10147,17112,0,0,
1527,Short Term,,1,Rent,,Debt Consolidation,494.67,5936.04,,Very Bad DTI,5.9,13,0,Good UR,0.45,7228,16062,0,0,
1527,Short Term,,2,Rent,,Medical Bills,553.48,6641.76,,Very Bad DTI,15.1,6,0,Very Bad UR,0.7,6944,9878,0,0,
1532,Short Term,718,10,Home Mortgage,55166,Other,446.39,5356.68,0.1,Excellent DTI,25.9,9,2,Very Bad UR,0.81,13478,16558,1,1,
1533,Short Term,,10,Home Mortgage,,Buy a Car,1507.6,18091.2,,Very Bad DTI,31.9,16,0,Excellent UR,0.26,12998,49801,0,0,
1534,Short Term,670,,Rent,15344,Medical Bills,250.61,3007.32,0.2,Good DTI,13.1,8,1,Excellent UR,0.15,1711,11642,1,0,
1534,Short Term,703,10,Rent,36810,Debt Consolidation,319.02,3828.24,0.1,Excellent DTI,19.7,6,1,Excellent UR,0.09,550,6113,1,0,
1536,Short Term,739,5,Home Mortgage,76778,Debt Consolidation,593.75,7125,0.09,Excellent DTI,25.1,6,0,Bad UR,0.58,6485,11162,0,0,
1536,Short Term,718,,Home Mortgage,39948,Buy a Car,838.9,10066.8,0.25,Bad DTI,17.1,10,1,Good UR,0.44,11927,27230,0,1,
1537,Short Term,684,4,Own Home,60349,other,388.24,4658.88,0.08,Excellent DTI,28.8,9,0,Excellent UR,0.24,8291,34983,0,0,
1546,Short Term,730,2,Home Mortgage,89793,Other,1212.21,14546.52,0.16,Good DTI,16,14,0,Very Bad UR,0.89,14865,16758,0,0,
